UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,loan_default
427125,52303,64505,83.71,162,17094,86,1875,27-10-1992,Salaried,08-08-2018,4,0
597018,59808,71454,88.87,160,22417,51,60,01-01-1990,Salaried,22-10-2018,1,0
504773,54989,66382,88.88,162,18077,86,1836,30-06-1973,Self employed,14-09-2018,4,0
454110,46245,67320,71.45,120,22304,45,6926,18-04-1991,Self employed,21-08-2018,12,1
526779,53578,70698,77.8,77,17954,86,2280,12-04-1994,Salaried,21-09-2018,4,0
451570,50175,68438,79.09,5,14347,86,3359,01-01-1959,Salaried,21-08-2018,9,0
634342,51378,70300,74.4,147,24210,51,2823,12-01-1977,Self employed,28-10-2018,2,0
621061,57863,75200,78.26,36,15372,45,6625,31-12-1986,Salaried,25-10-2018,13,0
450409,48349,63800,76.8,5,20470,86,3419,15-04-1980,Self employed,20-08-2018,9,0
460006,30824,58090,56.81,20,15452,86,6175,10-05-1995,Salaried,23-08-2018,5,0
434727,39141,63472,63.02,136,22865,45,3821,09-06-1982,Salaried,12-08-2018,8,0
631220,33884,69629,50.27,153,15793,86,342,27-03-1967,Self employed,27-10-2018,11,0
472623,51653,70525,77.99,160,22417,51,43,05-02-1982,Salaried,29-08-2018,1,0
423177,52803,65500,83.21,16,16445,86,2943,01-01-1988,Salaried,06-08-2018,17,0
604838,77029,104913,74.35,35,22489,49,4324,27-10-1993,Salaried,23-10-2018,8,1
423828,56659,70350,82.3,16,21124,86,2951,21-11-1996,Salaried,06-08-2018,14,0
504623,72217,91386,81.41,162,17094,86,1838,25-10-1978,Salaried,14-09-2018,4,0
423168,57513,64268,91.8,15,14710,86,299,08-08-1985,Salaried,06-08-2018,11,0
555922,41544,59386,75.78,74,16742,45,2609,03-07-1983,Self employed,03-10-2018,4,0
418125,60713,83716,74.66,19,21264,86,1872,28-09-1994,Salaried,01-08-2018,4,0
638189,56759,75685,75.97,34,23024,86,1055,28-10-1979,Self employed,29-10-2018,6,0
583866,55013,71286,79.96,152,23404,45,4920,16-04-1991,Salaried,17-10-2018,3,0
537333,57859,71940,83.4,5,15663,86,3342,24-01-1971,Salaried,26-09-2018,9,1
450209,47049,59490,82.37,14,23995,45,824,31-12-1992,Salaried,20-08-2018,15,0
540545,58259,71556,82.45,146,21980,86,2943,06-02-1961,Self employed,27-09-2018,17,0
568601,53303,69955,77.19,8,23977,49,5577,27-05-1987,Self employed,11-10-2018,3,0
564724,63213,85947,74.46,136,24224,51,3686,26-04-1996,Salaried,09-10-2018,8,0
580239,59057,72712,86.64,3,14360,51,14,06-05-1996,Self employed,15-10-2018,1,1
614521,36439,71022,52.1,136,24003,51,3734,17-05-1969,Salaried,24-10-2018,8,0
627725,43394,69281,63.51,18,14878,45,2730,01-01-1983,Salaried,26-10-2018,4,0
571567,72317,103294,71.64,10,12500,48,5665,02-02-1966,Self employed,12-10-2018,3,1
580067,57513,65190,89.74,61,15897,45,1377,01-01-1974,Self employed,15-10-2018,6,0
426624,41656,58825,75.82,3,16167,45,86,10-05-1986,Self employed,07-08-2018,1,0
491918,46349,66960,71.68,79,24065,45,760,13-06-1992,Salaried,06-09-2018,18,0
491424,60933,80498,79.51,5,15996,120,3434,01-01-1989,Self employed,05-09-2018,9,0
482554,53703,61470,89.47,67,22727,45,1436,01-01-1995,Salaried,31-08-2018,6,0
593889,56259,65687,86.78,34,15196,86,992,02-08-1968,Salaried,21-10-2018,6,0
634295,92943,145000,64.83,2,23908,49,1643,28-07-1995,Salaried,28-10-2018,4,0
607033,57913,66924,88.16,72,16866,86,475,17-04-1982,Self employed,23-10-2018,11,0
542970,55314,64013,89.51,15,14441,45,298,01-01-1986,Salaried,27-09-2018,11,0
559037,69223,78000,89.87,2,22869,86,1646,03-11-1964,Self employed,05-10-2018,4,0
558509,30784,79568,39.34,120,18643,86,6921,25-12-1985,Salaried,05-10-2018,12,0
512642,43988,81800,55.01,255,23494,51,5842,06-03-1996,Self employed,17-09-2018,3,0
452485,63213,97000,67.01,36,24012,48,6680,01-10-1991,Self employed,21-08-2018,13,0
485004,55727,77714,74.26,254,23362,49,6734,15-01-1992,Salaried,31-08-2018,13,0
600992,53459,73000,75.62,152,22949,45,5188,01-03-1990,Self employed,22-10-2018,3,0
487817,44645,66428,69.25,251,18449,86,6860,01-10-1962,Self employed,03-09-2018,13,0
469262,49303,95202,53.57,160,22417,51,87,15-07-1987,Salaried,28-08-2018,1,0
632632,121009,180000,69.89,135,22839,49,1665,01-12-1992,Self employed,27-10-2018,4,1
518818,68169,101130,69.22,11,23150,48,5995,01-01-1995,Self employed,19-09-2018,3,1
455738,68971,78500,89.81,2,22998,86,1655,16-05-1987,Self employed,22-08-2018,4,0
467927,53303,74700,73.63,1,18080,86,5099,14-09-1988,Self employed,28-08-2018,3,0
625544,50518,78353,67.64,7,18674,45,5858,25-01-1981,Self employed,26-10-2018,3,0
530955,46645,58160,83.39,79,20996,45,763,04-10-1982,Self employed,24-09-2018,18,0
455493,42394,60670,70.88,160,21773,86,81,14-06-1986,Salaried,22-08-2018,1,1
508585,59947,73081,84.84,48,15916,45,6315,15-12-1976,Self employed,15-09-2018,5,0
455860,60947,78446,79.04,2,16865,51,2377,30-12-1990,Salaried,22-08-2018,4,0
621408,54341,78315,75,36,18441,45,6657,02-07-1975,Self employed,25-10-2018,13,0
580950,54513,75512,74.16,68,16603,120,853,05-07-1993,Self employed,15-10-2018,6,0
467836,16619,69354,25.95,42,23145,45,5342,01-01-1989,Self employed,28-08-2018,3,0
436105,49683,61500,84.55,160,14081,45,16,02-04-1969,Self employed,13-08-2018,1,0
515317,56309,72875,79.59,16,21124,86,3017,20-01-1990,,18-09-2018,14,1
462140,37439,61240,62.87,162,22320,45,1911,21-01-1998,,24-08-2018,4,0
432210,50803,66146,78.61,160,18535,86,93,13-04-1991,Self employed,11-08-2018,16,0
490695,52303,65794,82.07,3,16167,45,32,10-08-1979,Salaried,05-09-2018,1,0
424901,32343,73859,45.84,254,23311,86,6772,10-01-1983,Salaried,07-08-2018,13,0
611692,58557,75450,83.5,74,21347,86,2590,01-01-1988,Salaried,24-10-2018,4,1
632167,57513,72000,81.67,2,22239,45,1702,04-02-1989,Salaried,27-10-2018,4,1
640386,91355,135888,68.29,36,23659,48,6556,21-09-1992,Self employed,30-10-2018,13,0
430854,43394,63376,71,130,16335,120,995,20-03-1982,Salaried,10-08-2018,6,0
631729,74751,96900,79.46,135,20878,86,1631,02-02-1997,Salaried,27-10-2018,4,1
523960,58263,76067,77.56,43,24374,120,4012,07-10-1968,Self employed,20-09-2018,8,0
598784,48349,73219,66.92,19,14214,45,1840,05-05-1984,Salaried,22-10-2018,4,1
460809,37439,54543,71.5,48,17771,45,6337,02-01-1995,Self employed,24-08-2018,5,0
510941,49003,98987,51.22,120,21514,51,6925,06-06-1994,Salaried,16-09-2018,12,0
557370,55009,74501,75.17,16,14305,86,2972,01-01-1997,Salaried,04-10-2018,14,0
510963,48349,66500,75.19,34,18680,45,1019,01-06-1997,Salaried,16-09-2018,6,0
561952,73751,87202,86.58,13,15011,86,4676,07-05-1981,Salaried,08-10-2018,8,0
476178,41710,59145,74.73,78,17075,48,2075,01-03-1982,Self employed,30-08-2018,4,0
557683,67782,85635,81.16,67,22045,86,1411,01-01-1965,Salaried,04-10-2018,6,1
514430,45351,63206,74.69,36,24250,48,6699,15-01-1995,Self employed,18-09-2018,13,1
440454,72123,110945,66.7,103,23267,48,6973,01-01-1977,Self employed,16-08-2018,7,0
432545,50203,62381,82.56,67,23582,51,1512,07-08-1993,Salaried,11-08-2018,6,0
626164,56209,73121,79.32,16,18317,86,2989,22-04-1995,Self employed,26-10-2018,14,0
428229,38439,62623,63.87,251,21282,45,6890,01-10-1991,Self employed,08-08-2018,13,0
530871,35439,58522,63.22,34,21429,86,1170,01-01-1970,Self employed,23-09-2018,6,0
516340,61213,86116,73.16,10,23219,86,5655,08-06-1996,Self employed,18-09-2018,3,0
458264,46549,83080,58.02,48,17827,86,6428,18-04-1986,Self employed,23-08-2018,5,0
450042,51578,61178,87.45,34,20520,45,1049,02-04-1994,Self employed,20-08-2018,6,1
594547,52978,60023,89.8,61,15919,45,1359,01-06-1962,Salaried,21-10-2018,6,0
598832,55513,67701,83.46,165,21064,86,6487,10-11-1973,Salaried,22-10-2018,5,0
632775,50243,74444,71.19,78,18103,86,2101,12-09-1992,Self employed,27-10-2018,4,0
605959,58259,73838,79.9,146,17921,86,2970,01-01-1986,Self employed,23-10-2018,14,0
